log_id,developer_id,date_key,timestamp_start,timestamp_end,activity_id,interruption_id,session_duration_minutes,in_flow_state,context_switch_flag,cognitive_recovery_minutes
1000001,101,20260101,2026-01-01 09:00:00,2026-01-01 09:39:00,1,6,39,True,1,7.24
1000002,101,20260101,2026-01-01 09:39:00,2026-01-01 10:06:00,1,4,27,True,1,30.4
1000003,101,20260101,2026-01-01 10:06:00,2026-01-01 10:44:00,1,0,38,True,0,0.0
1000004,101,20260101,2026-01-01 10:44:00,2026-01-01 10:59:00,6,0,15,False,0,0.0
1000005,101,20260101,2026-01-01 10:59:00,2026-01-01 11:14:00,3,0,15,False,0,0.0
1000006,101,20260101,2026-01-01 11:14:00,2026-01-01 11:44:00,5,0,30,False,0,0.0
1000007,101,20260101,2026-01-01 11:44:00,2026-01-01 12:14:00,3,0,30,False,0,0.0
1000008,101,20260101,2026-01-01 12:14:00,2026-01-01 12:41:00,2,2,27,True,1,19.44
1000009,101,20260101,2026-01-01 12:41:00,2026-01-01 13:19:00,1,0,38,True,0,0.0
1000010,101,20260101,2026-01-01 13:19:00,2026-01-01 14:21:00,1,0,62,True,0,0.0
1000011,101,20260101,2026-01-01 14:21:00,2026-01-01 14:51:00,5,0,30,False,0,0.0
1000012,101,20260101,2026-01-01 14:51:00,2026-01-01 15:14:00,1,7,23,False,1,10.66
1000013,101,20260101,2026-01-01 15:14:00,2026-01-01 16:22:00,1,0,68,True,0,0.0
1000014,101,20260101,2026-01-01 16:22:00,2026-01-01 16:49:00,2,0,27,True,0,0.0
1000015,101,20260101,2026-01-01 16:49:00,2026-01-01 17:30:00,5,0,41,False,0,0.0
1000016,102,20260101,2026-01-01 09:00:00,2026-01-01 09:32:00,1,4,32,True,1,23.53
1000017,102,20260101,2026-01-01 09:32:00,2026-01-01 10:17:00,3,0,45,False,0,0.0
1000018,102,20260101,2026-01-01 10:17:00,2026-01-01 11:02:00,5,0,45,False,0,0.0
1000019,102,20260101,2026-01-01 11:02:00,2026-01-01 11:31:00,1,5,29,True,1,26.56
1000020,102,20260101,2026-01-01 11:31:00,2026-01-01 11:46:00,4,0,15,False,0,0.0
1000021,102,20260101,2026-01-01 11:46:00,2026-01-01 12:11:00,3,0,25,False,0,0.0
1000022,102,20260101,2026-01-01 12:11:00,2026-01-01 12:23:00,1,0,12,False,0,0.0
1000023,102,20260101,2026-01-01 12:23:00,2026-01-01 12:50:00,1,3,27,True,1,14.09
1000024,102,20260101,2026-01-01 12:50:00,2026-01-01 13:08:00,1,0,18,False,0,0.0
1000025,102,20260101,2026-01-01 13:08:00,2026-01-01 13:36:00,1,0,28,True,0,0.0
1000026,102,20260101,2026-01-01 13:36:00,2026-01-01 15:23:00,2,0,107,True,0,0.0
1000027,102,20260101,2026-01-01 15:23:00,2026-01-01 15:38:00,1,0,15,False,0,0.0
1000028,102,20260101,2026-01-01 15:38:00,2026-01-01 16:15:00,1,3,37,True,1,11.24
1000029,102,20260101,2026-01-01 16:15:00,2026-01-01 17:07:00,1,3,52,True,1,15.81
1000030,102,20260101,2026-01-01 17:07:00,2026-01-01 17:30:00,1,1,23,True,1,15.11
1000031,103,20260101,2026-01-01 09:00:00,2026-01-01 09:46:00,1,0,46,True,0,0.0
1000032,103,20260101,2026-01-01 09:46:00,2026-01-01 10:26:00,2,1,40,True,1,16.48
1000033,103,20260101,2026-01-01 10:26:00,2026-01-01 10:39:00,2,1,13,False,1,19.45
1000034,103,20260101,2026-01-01 10:39:00,2026-01-01 10:51:00,1,0,12,False,0,0.0
1000035,103,20260101,2026-01-01 10:51:00,2026-01-01 11:26:00,1,0,35,True,0,0.0
1000036,103,20260101,2026-01-01 11:26:00,2026-01-01 11:55:00,2,1,29,True,1,16.42
1000037,103,20260101,2026-01-01 11:55:00,2026-01-01 12:10:00,3,0,15,False,0,0.0
1000038,103,20260101,2026-01-01 12:10:00,2026-01-01 13:10:00,5,0,60,False,0,0.0
1000039,103,20260101,2026-01-01 13:10:00,2026-01-01 13:22:00,1,0,12,False,0,0.0
1000040,103,20260101,2026-01-01 13:22:00,2026-01-01 13:34:00,1,0,12,False,0,0.0
1000041,103,20260101,2026-01-01 13:34:00,2026-01-01 14:16:00,1,0,42,True,0,0.0
1000042,103,20260101,2026-01-01 14:16:00,2026-01-01 14:41:00,5,0,25,False,0,0.0
1000043,103,20260101,2026-01-01 14:41:00,2026-01-01 14:56:00,6,0,15,False,0,0.0
1000044,103,20260101,2026-01-01 14:56:00,2026-01-01 15:35:00,1,0,39,True,0,0.0
1000045,103,20260101,2026-01-01 15:35:00,2026-01-01 15:47:00,1,1,12,False,1,19.52
1000046,103,20260101,2026-01-01 15:47:00,2026-01-01 16:04:00,1,0,17,False,0,0.0
1000047,103,20260101,2026-01-01 16:04:00,2026-01-01 16:34:00,3,0,30,False,0,0.0
1000048,103,20260101,2026-01-01 16:34:00,2026-01-01 17:18:00,1,0,44,True,0,0.0
1000049,103,20260101,2026-01-01 17:18:00,2026-01-01 17:30:00,1,4,12,False,1,32.43
1000050,104,20260101,2026-01-01 09:00:00,2026-01-01 09:30:00,2,0,30,True,0,0.0
1000051,104,20260101,2026-01-01 09:30:00,2026-01-01 09:45:00,5,0,15,False,0,0.0
1000052,104,20260101,2026-01-01 09:45:00,2026-01-01 09:57:00,2,0,12,False,0,0.0
1000053,104,20260101,2026-01-01 09:57:00,2026-01-01 10:27:00,5,0,30,False,0,0.0
1000054,104,20260101,2026-01-01 10:27:00,2026-01-01 10:42:00,4,0,15,False,0,0.0
1000055,104,20260101,2026-01-01 10:42:00,2026-01-01 11:09:00,2,3,27,True,1,14.46
1000056,104,20260101,2026-01-01 11:09:00,2026-01-01 11:43:00,1,0,34,True,0,0.0
1000057,104,20260101,2026-01-01 11:43:00,2026-01-01 12:43:00,4,0,60,False,0,0.0
1000058,104,20260101,2026-01-01 12:43:00,2026-01-01 13:28:00,4,0,45,False,0,0.0
1000059,104,20260101,2026-01-01 13:28:00,2026-01-01 13:43:00,5,0,15,False,0,0.0
1000060,104,20260101,2026-01-01 13:43:00,2026-01-01 13:58:00,1,2,15,False,1,21.83
