developer_id,date_key,total_tracked_minutes,deep_work_minutes,pure_flow_minutes,total_interruptions,ci_cd_interruptions,total_cognitive_tax_minutes,flow_efficiency_pct,cognitive_friction_score
101,20260101,510,349,326,4,0,67.74000000000001,82.8,56.45
101,20260102,510,395,365,5,2,111.55,76.59,92.96
101,20260105,510,455,374,5,0,70.7,84.1,58.92
101,20260106,510,375,275,4,1,83.96,76.61,69.97
101,20260107,510,390,377,2,1,34.89,91.53,29.08
101,20260108,510,337,313,1,0,18.44,94.44,15.37
101,20260109,510,335,253,6,1,94.78,72.75,78.98
101,20260112,510,340,279,5,3,70.28999999999999,79.88,58.57
101,20260113,510,245,181,2,1,26.01,87.44,21.68
101,20260114,510,316,292,2,2,30.69,90.49,25.58
101,20260115,510,437,349,9,4,151.47,69.73,100.0
101,20260116,510,309,241,4,2,55.33,81.33,46.11
101,20260119,510,420,356,6,2,96.58,78.66,80.48
101,20260120,510,260,215,4,2,64.76,76.85,53.97
101,20260121,510,335,255,8,3,136.20999999999998,65.18,100.0
101,20260122,510,440,375,7,3,116.77000000000001,76.26,97.31
101,20260123,510,405,330,6,0,78.38,80.81,65.32
101,20260126,510,405,357,6,3,98.93,78.3,82.44
101,20260127,510,280,198,5,2,61.790000000000006,76.22,51.49
101,20260128,510,355,313,5,0,66.73,82.43,55.61
101,20260129,510,235,179,4,1,50.64,77.95,42.2
101,20260130,510,246,197,4,1,47.39,80.61,39.49
101,20260202,510,410,394,5,1,84.46000000000001,82.35,70.38
101,20260203,510,335,289,8,1,114.81,71.57,95.68
101,20260204,510,360,343,4,0,62.94,84.5,52.45
101,20260205,510,275,266,0,0,0.0,100.0,0.0
101,20260206,510,310,264,4,0,70.9,78.83,59.08
101,20260209,510,365,245,10,2,189.49,56.39,100.0
101,20260210,510,295,283,1,1,15.6,94.78,13.0
101,20260211,510,300,227,5,1,71.59,76.02,59.66
101,20260212,510,369,308,5,1,95.03,76.42,79.19
101,20260213,510,355,299,2,1,46.65,86.5,38.88
101,20260216,510,330,228,4,2,58.9,79.47,49.08
101,20260217,510,395,303,8,3,127.94,70.31,100.0
101,20260218,510,340,318,5,2,92.4,77.49,77.0
101,20260219,510,320,274,5,3,90.05,75.26,75.04
101,20260220,510,395,342,7,2,111.77,75.37,93.14
101,20260223,510,225,189,3,3,45.43,80.62,37.86
101,20260224,510,382,321,7,2,125.81,71.84,100.0
101,20260225,510,290,231,4,1,79.42,74.42,66.18
101,20260226,510,350,297,4,0,84.86,77.78,70.72
101,20260227,510,400,352,5,0,90.31,79.58,75.26
101,20260302,510,385,331,4,1,90.28999999999999,78.57,75.24
101,20260303,510,380,325,4,2,72.35,81.79,60.29
101,20260304,510,360,312,6,3,102.36,75.3,85.3
101,20260305,510,260,151,5,3,65.7,69.68,54.75
101,20260306,510,250,192,5,2,78.9,70.87,65.75
101,20260309,510,390,364,5,3,82.33,81.55,68.61
101,20260310,510,385,339,6,4,93.94,78.3,78.28
101,20260311,510,485,445,4,3,62.03,87.77,51.69
101,20260312,510,435,392,3,1,57.120000000000005,87.28,47.6
101,20260313,510,343,283,7,3,115.75,70.97,96.46
101,20260316,510,340,251,4,2,73.67,77.31,61.39
101,20260317,510,395,320,3,2,34.92,90.16,29.1
101,20260318,510,365,277,8,3,152.27,64.53,100.0
101,20260319,510,310,226,8,4,126.0,64.2,100.0
101,20260320,510,415,382,2,0,37.879999999999995,90.98,31.57
101,20260323,510,140,111,1,0,20.88,84.17,17.4
101,20260324,510,310,249,4,0,50.28,83.2,41.9
101,20260325,510,417,297,4,2,56.470000000000006,84.02,47.06
101,20260326,510,385,284,5,3,74.65,79.19,62.21
101,20260327,510,355,331,6,2,93.48,77.98,77.9
101,20260330,510,331,259,6,0,129.65,66.64,100.0
101,20260331,510,210,125,5,2,72.63,63.25,60.52
102,20260101,510,380,335,6,1,106.34,75.91,88.62
102,20260102,510,425,401,5,3,79.39,83.47,66.16
102,20260105,510,395,312,4,1,66.13,82.51,55.11
102,20260106,510,398,398,2,1,33.55,92.23,27.96
102,20260107,510,360,334,3,2,52.32,86.46,43.6
102,20260108,510,350,283,5,2,95.96000000000001,74.68,79.97
102,20260109,510,290,153,5,3,68.31,69.13,56.92
102,20260112,510,200,200,4,1,69.88,74.11,58.23
102,20260113,510,435,384,5,1,107.86,78.07,89.88
102,20260114,510,370,338,1,0,19.15,94.64,15.96
102,20260115,510,300,245,3,0,43.3,84.98,36.08
102,20260116,510,346,219,6,3,104.03,67.8,86.69
102,20260119,510,308,176,7,3,113.38,60.82,94.48
102,20260120,510,305,238,2,2,32.3,88.05,26.92
102,20260121,510,355,290,4,2,86.87,76.95,72.39
102,20260122,510,270,248,2,2,24.990000000000002,90.85,20.83
102,20260123,510,445,386,3,1,44.489999999999995,89.67,37.07
102,20260126,510,420,362,4,1,57.349999999999994,86.32,47.79
102,20260127,510,431,286,2,0,37.11,88.51,30.92
102,20260128,510,320,281,5,3,88.91,75.96,74.09
102,20260129,510,440,424,6,2,107.09,79.84,89.24
102,20260130,510,365,329,4,4,60.38,84.49,50.32
102,20260202,510,440,380,5,1,89.69,80.9,74.74
102,20260203,510,310,201,3,1,34.06,85.51,28.38
102,20260204,510,395,290,5,2,69.0,80.78,57.5
102,20260205,510,350,320,3,1,48.620000000000005,86.81,40.52
102,20260206,510,280,233,4,2,48.2,82.86,40.17
102,20260209,510,296,245,3,1,58.87,80.63,49.06
102,20260210,510,455,414,5,2,62.54,86.88,52.12
102,20260211,510,350,315,5,2,85.27,78.7,71.06
102,20260212,510,410,315,8,2,111.06,73.93,92.55
102,20260213,510,315,254,6,2,102.22,71.3,85.18
102,20260216,510,415,415,6,1,97.21,81.02,81.01
102,20260217,510,338,263,6,2,90.59,74.38,75.49
102,20260218,510,385,321,6,3,82.24000000000001,79.61,68.53
102,20260219,510,371,340,4,2,79.68,81.01,66.4
102,20260220,510,387,323,6,1,80.78999999999999,79.99,67.32
102,20260223,510,375,288,10,3,149.69,65.8,100.0
102,20260224,510,351,223,8,3,132.84,62.67,100.0
102,20260225,510,390,356,3,1,44.839999999999996,88.81,37.37
102,20260226,510,345,311,5,1,94.38,76.72,78.65
102,20260227,510,365,294,6,2,86.29,77.31,71.91
102,20260302,510,307,211,7,3,110.21,65.69,91.84
102,20260303,510,420,358,4,3,66.83,84.27,55.69
102,20260304,510,320,296,4,2,72.49000000000001,80.33,60.41
102,20260305,510,375,279,4,1,76.77,78.42,63.97
102,20260306,510,240,187,3,1,62.5,74.95,52.08
102,20260309,510,322,304,4,2,56.94,84.22,47.45
102,20260310,510,315,250,2,1,39.92,86.23,33.27
102,20260311,510,355,263,4,1,75.88,77.61,63.23
102,20260312,510,295,279,4,1,67.31,80.56,56.09
102,20260313,510,410,301,7,3,95.11,75.99,79.26
102,20260316,510,255,189,3,3,44.1,81.08,36.75
102,20260317,510,310,283,4,1,67.25999999999999,80.8,56.05
102,20260318,510,280,177,3,2,54.28,76.53,45.23
102,20260319,510,350,320,2,1,32.839999999999996,90.69,27.37
102,20260320,510,275,197,5,2,72.66,73.05,60.55
102,20260323,510,340,307,3,1,46.46,86.86,38.72
102,20260324,510,405,289,3,3,41.29,87.5,34.41
102,20260325,510,430,375,4,0,66.86,84.87,55.72
102,20260326,510,435,350,8,3,133.19,72.44,100.0
102,20260327,510,350,300,4,1,78.49,79.26,65.41
102,20260330,510,387,358,4,2,64.4,84.75,53.67
102,20260331,510,385,310,4,1,73.83,80.76,61.52
103,20260101,510,365,275,5,4,104.3,72.5,86.92
103,20260102,510,373,315,3,1,42.85,88.03,35.71
103,20260105,510,255,238,4,2,64.0,78.81,53.33
103,20260106,510,370,311,4,2,72.31,81.14,60.26
103,20260107,510,310,292,5,2,87.74000000000001,76.89,73.12
103,20260108,510,400,359,5,3,86.82,80.53,72.35
103,20260109,510,355,333,6,5,87.21000000000001,79.25,72.68
103,20260112,510,321,208,7,2,114.36999999999999,64.52,95.31
103,20260113,510,390,357,5,3,77.25,82.21,64.38
103,20260114,510,280,205,4,1,66.69,75.45,55.58
103,20260115,510,250,176,5,1,71.86,71.01,59.88
103,20260116,510,301,184,5,2,82.38,69.07,68.65
103,20260119,510,374,350,5,2,95.46000000000001,78.57,79.55
103,20260120,510,440,393,4,2,51.2,88.47,42.67
103,20260121,510,295,227,3,2,41.82,84.44,34.85
103,20260122,510,299,240,0,0,0.0,100.0,0.0
103,20260123,510,347,308,4,2,59.03,83.92,49.19
103,20260126,510,320,242,3,1,60.47,80.01,50.39
103,20260127,510,300,244,6,1,97.76,71.4,81.47
103,20260128,510,365,260,8,3,137.17000000000002,65.46,100.0
103,20260129,510,440,407,4,2,58.61,87.41,48.84
103,20260130,510,215,181,3,2,47.89,79.08,39.91
103,20260202,510,370,334,5,3,72.2,82.23,60.17
103,20260203,510,269,196,5,2,77.94999999999999,71.55,64.96
103,20260204,510,390,373,3,1,55.34,87.08,46.12
103,20260205,510,270,201,5,4,80.41,71.43,67.01
103,20260206,510,325,271,5,3,77.73,77.71,64.78
103,20260209,510,353,286,6,0,114.31,71.44,95.26
103,20260210,510,335,257,8,2,111.06,69.83,92.55
103,20260211,510,322,246,7,1,118.57,67.48,98.81
103,20260212,510,400,294,6,1,94.73,75.63,78.94
103,20260213,510,430,408,7,5,92.3,81.55,76.92
103,20260216,510,375,360,6,1,118.28,75.27,98.57
103,20260217,510,390,340,3,2,38.36,89.86,31.97
103,20260218,510,393,300,5,1,91.5,76.63,76.25
103,20260219,510,290,256,4,2,59.31,81.19,49.42
103,20260220,510,259,178,3,1,58.59,75.24,48.82
103,20260223,510,455,366,4,1,43.57,89.36,36.31
103,20260224,510,235,195,3,1,46.31,80.81,38.59
103,20260225,510,390,339,6,0,75.46000000000001,81.79,62.88
103,20260226,510,411,378,7,4,91.47,80.52,76.22
103,20260227,510,440,373,8,2,109.72,77.27,91.43
103,20260302,510,420,330,5,3,84.28,79.66,70.23
103,20260303,510,361,300,7,3,113.33,72.58,94.44
103,20260304,510,120,87,1,0,10.55,89.19,8.79
103,20260305,510,345,275,4,3,57.23,82.77,47.69
103,20260306,510,420,334,3,1,40.01,89.3,33.34
103,20260309,510,285,237,4,1,63.85,78.78,53.21
103,20260310,510,480,362,8,1,129.55,73.64,100.0
103,20260311,510,350,313,5,2,91.56,77.37,76.3
103,20260312,510,405,365,7,3,88.86,80.42,74.05
103,20260313,510,450,411,5,2,95.30000000000001,81.18,79.42
103,20260316,510,348,335,2,0,19.45,94.51,16.21
103,20260317,510,399,285,5,0,93.9,75.22,78.25
103,20260318,510,343,301,5,2,85.29,77.92,71.08
103,20260319,510,235,187,4,1,61.72,75.18,51.43
103,20260320,510,355,204,5,2,92.36,68.84,76.97
103,20260323,510,389,349,3,1,63.06,84.7,52.55
103,20260324,510,365,322,2,0,36.349999999999994,89.86,30.29
103,20260325,510,345,296,3,1,49.07,85.78,40.89
103,20260326,510,385,346,7,5,109.34,75.99,91.12
103,20260327,510,257,233,4,1,69.53,77.02,57.94
103,20260330,510,273,248,1,0,10.13,96.08,8.44
103,20260331,510,373,317,4,1,65.38,82.9,54.48
104,20260101,510,206,179,2,0,36.29,83.14,30.24
104,20260102,510,279,255,2,1,31.1,89.13,25.92
104,20260105,510,270,179,5,2,88.21,66.99,73.51
104,20260106,510,350,258,8,5,130.32999999999998,66.44,100.0
104,20260107,510,312,237,5,4,87.84,72.96,73.2
104,20260108,510,420,399,5,2,83.54,82.69,69.62
104,20260109,510,355,299,2,1,40.34,88.11,33.62
104,20260112,510,425,417,2,1,30.540000000000003,93.18,25.45
104,20260113,510,400,400,4,1,58.03,87.33,48.36
104,20260114,510,325,295,5,1,81.19,78.42,67.66
104,20260115,510,335,213,5,2,80.92999999999999,72.47,67.44
104,20260116,510,425,390,5,1,81.73,82.67,68.11
104,20260119,510,318,253,4,1,63.21,80.01,52.68
104,20260120,510,375,288,5,1,98.13,74.59,81.77
104,20260121,510,421,346,6,2,99.23,77.71,82.69
104,20260122,510,180,96,5,3,74.42,56.33,62.02
104,20260123,510,315,303,4,0,53.620000000000005,84.96,44.68
104,20260126,510,330,281,3,1,25.060000000000002,91.81,20.88
104,20260127,510,364,297,2,1,25.270000000000003,92.16,21.06
104,20260128,510,365,309,3,0,55.230000000000004,84.84,46.03
104,20260129,510,395,372,7,4,122.92,75.16,100.0
104,20260130,510,341,286,2,0,36.739999999999995,88.62,30.62
104,20260202,510,424,355,10,6,166.13,68.12,100.0
104,20260203,510,240,182,4,2,73.22,71.31,61.02
104,20260204,510,330,227,5,1,75.83,74.96,63.19
104,20260205,510,260,184,4,1,50.75,78.38,42.29
104,20260206,510,435,270,3,2,39.58,87.21,32.98
104,20260209,510,280,232,4,1,70.39,76.72,58.66
